,Medicine_Name,Discounted_Prices,Real_Price,Manufacturer Name,Medicine_Link,Quantity,salts
14,Benzac AC 5% Gel 20gm,  ₹159.26,N/A,Galderma India Pvt Ltd,https://www.netmeds.com/prescriptions/benzac-ac-5-gel-20gm,N/A,N/A
15,BENZADAF Gel 15gm,  ₹385.00,N/A,Dermajoint India,https://www.netmeds.com/prescriptions/benzadaf-gel-15gm,N/A,N/A
16,Benzer 2.5% Gel 20gm,₹71.73,₹75.50,Talent India,https://www.netmeds.com/prescriptions/benzer-2-5-gel-20gm,N/A,N/A
17,BENZOACT Soap 75gm,  ₹105.00,N/A,Medinova Labs,https://www.netmeds.com/prescriptions/benzoact-soap-75gm,N/A,N/A
18,BENZONAK 2.5% Lotion 50ml,  ₹110.00,₹ 110.00 ,PRAISE PHARMA,https://www.netmeds.com/prescriptions/benzonak-2-5-lotion-50ml,N/A,N/A
19,BENZONAK 5% Lotion 50ml,  ₹180.00,₹ 180.00 ,PRAISE PHARMA,https://www.netmeds.com/prescriptions/benzonak-5-lotion-50ml,N/A,N/A
20,Benzonext 5% Gel 20gm,  ₹90.00,₹ 90.00 ,Ethinext Pharma Pvt Ltd,https://www.netmeds.com/prescriptions/benzonext-5-gel-20gm,N/A,N/A
21,Benzonext Gel 20gm,  ₹80.00,₹ 80.00 ,Ethinext Pharma Pvt Ltd,https://www.netmeds.com/prescriptions/benzonext-gel-20gm,N/A,N/A
22,BENZONIX Gel Wash 50gm,  ₹174.00,₹ 174.00 ,Canixa Life Sciences Pvt Ltd,https://www.netmeds.com/prescriptions/benzonix-gel-wash-50gm,N/A,N/A
23,BENZOYL PEROXIDE (NANZ) Gel 20gm,  ₹81.00,N/A,Nanz Med Science Pharma Pvt Ltd,https://www.netmeds.com/prescriptions/benzoyl-peroxide-gel-20gm,N/A,N/A
24,BENZRIN AC 2.5% Gel(topical) 20gm,  ₹56.40,₹ 56.40 ,Rhine Royale,https://www.netmeds.com/prescriptions/benzrin-ac-2-5-geltopical-20gm,N/A,N/A
25,BENZRIN AC 5% Gel(topical) 20gm,  ₹81.50,N/A,RHINE BIOGENICS PVT LTD,https://www.netmeds.com/prescriptions/benzrin-ac-5-geltopical-20gm,N/A,Benzoyl Peroxide 5 %
26,BEPEROX DUO Gel 15gm,  ₹320.00,₹ 320.00 ,Caryota Lifesciences India Pvt Ltd,https://www.netmeds.com/prescriptions/beperox-duo-gel-15gm,N/A,Benzoyl Peroxide 2.5 %+Clindamycin 1 %
27,BEROX Gel 20gm,  ₹84.00,N/A,Synnove Pharmaceuticals Pvt Ltd,https://www.netmeds.com/prescriptions/berox-gel-20gm,N/A,N/A
28,BEROX AD Gel 20gm,  ₹324.00,₹ 324.00 ,Synnove Pharmaceuticals Pvt Ltd,https://www.netmeds.com/prescriptions/berox-ad-gel-20gm,N/A,N/A
29,BIOMYCIN Gel 15gm,₹67.38,₹96.25,Biochem Pharmaceutical Industries Ltd(Generic),https://www.netmeds.com/prescriptions/biomycin-gel-15gm,N/A,N/A
30,BENCLEAR 5% Gel 20gm,  ₹159.26,₹ 159.26 ,Ikon Remedies Pvt Ltd,https://www.netmeds.com/prescriptions/benclear-5-gel-20gm,N/A,N/A
31,BENCLEAR 2.5% Gel 20gm,  ₹72.35,N/A,Ikon Remedies Pvt Ltd,https://www.netmeds.com/prescriptions/benclear-2-5-gel-20gm,N/A,N/A
32,BENCLEAR A Gel 15gm,  ₹295.00,₹ 295.00 ,Ikon Remedies Pvt Ltd,https://www.netmeds.com/prescriptions/benclear-a-gel-15gm,N/A,N/A
33,BENLITE 5% Gel 20gm,  ₹145.00,₹ 145.00 ,Innovative Pharmaceuticals Pvt Ltd,https://www.netmeds.com/prescriptions/benlite-5-gel-20gm,N/A,N/A
34,BENLITE A Gel 15gm,  ₹295.00,₹ 295.00 ,Innovative Pharmaceuticals Pvt Ltd,https://www.netmeds.com/prescriptions/benlite-a-gel-15gm,N/A,N/A
35,BENZOL 10% Lotion 60ml,  ₹193.00,₹ 193.00 ,West Coast Pharmaceutical Works Ltd,https://www.netmeds.com/prescriptions/benzol-10-lotion-60ml,N/A,N/A
36,Beipos 10mg Tablet 10'S,  ₹159.00,₹ 159.00 ,Lupin Ltd,https://www.netmeds.com/prescriptions/beipos-10mg-tablet-10-s,*10 Tablet(s) in a Strip,N/A
37,BELATIN 20 Tablet 10's,  ₹110.00,Rs. 145.00,Macleods Pharmaceuticals Pvt Ltd,https://www.netmeds.com/prescriptions/belatin-20-tablet-10s,*10 Tablet(s) in a Strip,N/A
38,BELATIN 40 Tablet 10's,  ₹150.00,₹ 150.00 ,Macleods Pharmaceuticals Pvt Ltd,https://www.netmeds.com/prescriptions/belatin-40-tablet-10s,*10 Tablet(s) in a Strip,N/A
39,BELATIN M Tablet 10's,  ₹166.00,Rs. 150.00,Macleods Pharmaceuticals Pvt Ltd,https://www.netmeds.com/prescriptions/belatin-m-tablet-10s,*10 Tablet(s) in a Strip,N/A
40,BELFEXIN 180 Tablet 10's,  ₹140.00,N/A,Bellissa Pharmaceuticals Pvt Ltd,https://www.netmeds.com/prescriptions/belfexin-180-tablet-10s,*10 Tablet(s) in a Strip,N/A
41,BELTAS 20mg Tablet 10's,  ₹139.00,Rs. 145.00,Glenmark Pharmaceuticals Ltd,https://www.netmeds.com/prescriptions/beltas-20mg-tablet-10-s,*10 Tablet(s) in a Strip,N/A
42,Bepozal Tablet 10's,  ₹129.00,₹ 129.00 ,Glowderma Labs Pvt Ltd,https://www.netmeds.com/prescriptions/bepozal-tablet-10-s,*10 Tablet(s) in a Strip,N/A
43,Betnesol Injection 8X1Ml,  ₹42.48,N/A,Glaxosmithkline Pharmaceuticals Ltd,https://www.netmeds.com/prescriptions/betnesol-injection-8x1ml,N/A,N/A
44,Betni 4mg Injection 1ml,₹3.65,₹5.22,Intas Pharmaceuticals Ltd,https://www.netmeds.com/prescriptions/betni-4mg-injection-1ml,N/A,N/A
45,BIL 1 20mg Tablet 10's,  ₹126.50,N/A,Indiabulls Pharmaceuticals Ltd,https://www.netmeds.com/prescriptions/bil-1-20mg-tablet-10s,*10 Tablet(s) in a Strip,N/A
46,BILA ML Tablet 10's,  ₹139.00,N/A,FLOREAT MEDICA PVT LTD,https://www.netmeds.com/prescriptions/bila-ml-tablet-10s,*10 Tablet(s) in a Strip,N/A
47,BILACAD Tablet 10's,  ₹120.00,N/A,Cadila Pharmaceuticals Ltd,https://www.netmeds.com/prescriptions/bilacad-tablet-10s,*10 Tablet(s) in a Strip,N/A
48,BILACAD M Tablet 10's,  ₹167.50,Rs. 150.00,Cadila Pharmaceuticals Ltd,https://www.netmeds.com/prescriptions/bilacad-m-tablet-10s,*10 Tablet(s) in a Strip,N/A
49,BILACALM Tablet 10's,  ₹82.45,Rs. 145.00,Eris Oaknet Healthcare Pvt Ltd,https://www.netmeds.com/prescriptions/bilacalm-tablet-10s,*10 Tablet(s) in a Strip,N/A
50,BILACHEK Syrup 60ml,  ₹100.00,₹ 100.00 ,Mankind Pharma Pvt Ltd,https://www.netmeds.com/prescriptions/bilachek-syrup-60ml,N/A,N/A
51,BILACHEK Tablet 10's,  ₹99.00,N/A,Mankind Pharma Pvt Ltd,https://www.netmeds.com/prescriptions/bilachek-tablet-10s,*10 Tablet(s) in a Strip,N/A
52,BILACHEK M Tablet 10's,  ₹165.00,N/A,Mankind Pharma Pvt Ltd,https://www.netmeds.com/prescriptions/bilachek-m-tablet-10s,*10 Tablet(s) in a Strip,N/A
53,BILADIB 20 Tablet 10's,₹101.50,₹145.00,PREVEGO HEALTHCARE & RESEARCH PRIVATE LIMITED (Generics),https://www.netmeds.com/prescriptions/biladib-20-tablet-10s,*10 Tablet(s) in a Strip,Bilastine 20 mg
54,BILADIB M Tablet 10's,₹136.50,₹195.00,PREVEGO HEALTHCARE & RESEARCH PRIVATE LIMITED (Generics),https://www.netmeds.com/prescriptions/biladib-m-tablet-10s,*10 Tablet(s) in a Strip,N/A
55,BILAFAV 20 Tablet 10's,  ₹179.68,N/A,Cipla Ltd,https://www.netmeds.com/prescriptions/bilafav-20-tablet-10s,*10 Tablet(s) in a Strip,N/A
56,BILAFAV M Tablet 10's,  ₹193.60,Rs. 150.00,Cipla Ltd,https://www.netmeds.com/prescriptions/bilafav-m-tablet-10s,*10 Tablet(s) in a Strip,N/A
57,BILAFAV M Mango Flavour Suspension 60ml,  ₹148.00,N/A,Cipla Ltd,https://www.netmeds.com/prescriptions/bilafav-m-suspension-60ml,N/A,N/A
58,BILAFAV STRAWBERRY FLAVOUR Oral Solution 60ml,  ₹133.10,₹ 133.10 ,Cipla Ltd,https://www.netmeds.com/prescriptions/bilafav-strawberry-flavour-oral-solution-60ml,N/A,N/A
59,BILAFEM OD 20mg Tablet 10's,  ₹115.00,N/A,Dabur India Ltd,https://www.netmeds.com/prescriptions/bilafem-od-20mg-tablet-10s,*10 Tablet(s) in a Strip,Bilastine 20 mg
60,BILAFEM OD Solution 60ml,  ₹110.00,N/A,Dabur India Ltd,https://www.netmeds.com/prescriptions/bilafem-od-solution-60ml,N/A,Bilastine 2.5 mg
61,BILAFORD 40 Tablet 10's,₹105.00,₹150.00,Leeford Healthcare Ltd (Generics),https://www.netmeds.com/prescriptions/bilaford-40-tablet-10s,*10 Tablet(s) in a Strip,N/A
62,BILAFORD M Tablet 10's,₹105.00,₹150.00,Leeford Healthcare Ltd (Generics),https://www.netmeds.com/prescriptions/bilaford-m-tablet-10s,*10 Tablet(s) in a Strip,N/A
63,BILAFORD M Suspension 60ml,₹94.50,₹135.00,Leeford Healthcare Ltd (Generics),https://www.netmeds.com/prescriptions/bilaford-m-syrup-60ml,N/A,Bilastine 2.5 mg+Montelukast 4 mg
64,BILAGRA 20mg Tablet 10's,  ₹175.50,Rs. 145.00,Lupin Ltd,https://www.netmeds.com/prescriptions/bilagra-20mg-tablet-10-s,*10 Tablet(s) in a Strip,N/A
65,BILAGRA Syrup 60ml,  ₹118.75,N/A,Lupin Ltd,https://www.netmeds.com/prescriptions/bilagra-syrup-60ml,N/A,N/A
66,BILAHASTA 20 Tablet 10's,₹90.30,₹129.00,Avighna Medicare Pvt Ltd(Generics),https://www.netmeds.com/prescriptions/bilahasta-20-tablet-10s,*10 Tablet(s) in a Strip,N/A
67,BILAHASTA M Tablet 10's,  ₹139.00,N/A,Avighna Medicare Pvt Ltd,https://www.netmeds.com/prescriptions/bilahasta-m-tablet-10s,*10 Tablet(s) in a Strip,Bilastine 20 mg+Montelukast 10 mg
68,BILAHENZ 20mg Tablet 10's,  ₹136.00,Rs. 145.00,La Renon Healthcare Pvt Ltd,https://www.netmeds.com/prescriptions/bilahenz-20mg-tablet-10s,*10 Tablet(s) in a Strip,N/A
69,BILAHENZ M Tablet 10's,  ₹213.00,Rs. 150.00,La Renon Healthcare Pvt Ltd,https://www.netmeds.com/prescriptions/bilahenz-m-tablet-10s,*10 Tablet(s) in a Strip,N/A
70,BILAHIST Tablet 10's,  ₹132.00,Rs. 145.00,Med Manor Organics Pvt Ltd,https://www.netmeds.com/prescriptions/bilahist-tablet-10kau,*10 Tablet(s) in a Strip,N/A
71,BILAHIST 40 Tablet 10's,  ₹180.00,N/A,Med Manor Organics Pvt Ltd,https://www.netmeds.com/prescriptions/bilahist-40-tablet-10s,*10 Tablet(s) in a Strip,N/A
72,BILAHIST M Tablet 10's,  ₹176.00,Rs. 150.00,Med Manor Organics Pvt Ltd,https://www.netmeds.com/prescriptions/bilahist-m-tablet-10s,*10 Tablet(s) in a Strip,N/A
73,BILALIFE 20 Tablet 10's,  ₹129.00,Rs. 145.00,Walter Bushnell Pvt Ltd,https://www.netmeds.com/prescriptions/bilalife-20-tablet-10s,*10 Tablet(s) in a Strip,N/A
74,BILALIFE M Tablet 10's,  ₹173.71,N/A,Walter Bushnell Pvt Ltd,https://www.netmeds.com/prescriptions/bilalife-m-tablet-10s,*10 Tablet(s) in a Strip,N/A
75,BILALIFE M DELICIOUS MANGO FLAVOUR Suspension 60ml,  ₹125.00,N/A,Walter Bushnell Pvt Ltd,https://www.netmeds.com/prescriptions/bilalife-m-delicious-mango-flavour-suspension-60ml,N/A,N/A
76,BILAMBIC 20 Tablet 10's,  ₹118.25,Rs. 145.00,Alembic Pharmaceuticals Ltd,https://www.netmeds.com/prescriptions/bilambic-20-tablet-10s,*10 Tablet(s) in a Strip,N/A
77,BILAMBIC M Tablet 10's,  ₹107.90,Rs. 150.00,Alembic Pharmaceuticals Ltd,https://www.netmeds.com/prescriptions/bilambic-m-tablet-10s,*10 Tablet(s) in a Strip,N/A
78,BILAMED 20 Tablet 10's,  ₹131.00,Rs. 145.00,Med Manor Organics Pvt Ltd,https://www.netmeds.com/prescriptions/bilamed-20-tablet-10s,*10 Tablet(s) in a Strip,N/A
79,BILAMED M Suspension 60ml,  ₹126.00,N/A,Med Manor Organics Pvt Ltd,https://www.netmeds.com/prescriptions/bilamed-m-suspension-60ml,N/A,Bilastine 10 mg+Montelukast 4 mg
80,BILAMED M Tablet 10's,  ₹176.00,N/A,Med Manor Organics Pvt Ltd,https://www.netmeds.com/prescriptions/bilamed-m-tablet-10s,*10 Tablet(s) in a Strip,N/A
81,BILAMONT Tablet 10's,  ₹98.50,Rs. 150.00,Aristo Pharmaceuticals Pvt Ltd,https://www.netmeds.com/prescriptions/bilamont-tablet-10s,*10 Tablet(s) in a Strip,N/A
82,BILANAIR 20mg Tablet 10's,  ₹125.00,N/A,Koye Pharmaceuticals Pvt Ltd,https://www.netmeds.com/prescriptions/bilanair-20mg-tablet-10-s,*10 Tablet(s) in a Strip,N/A
83,BILANIX Tablet 10's,  ₹140.00,Rs. 145.00,Ajanta Pharma Ltd,https://www.netmeds.com/prescriptions/bilanix-tablet-10-s,*10 Tablet(s) in a Strip,N/A
84,BILANTA 20mg Tablet 10's,  ₹134.50,Rs. 145.00,Ajanta Pharma Ltd,https://www.netmeds.com/prescriptions/bilanta-20mg-tablet-10-s,*10 Tablet(s) in a Strip,N/A
85,BILANTA M Tablet 10's,  ₹188.50,Rs. 150.00,Ajanta Pharma Ltd,https://www.netmeds.com/prescriptions/bilanta-m-tablet-10s,*10 Tablet(s) in a Strip,N/A
86,BILARGY M Tablet 10's,  ₹198.00,Rs. 150.00,Best Biotech,https://www.netmeds.com/prescriptions/bilargy-m-tablet-10s,*10 Tablet(s) in a Strip,N/A
87,BILASDAY M Tablet 10's,  ₹164.90,N/A,Aareen Healthcare Pvt Ltd,https://www.netmeds.com/prescriptions/bilasday-m-tablet-10s,*10 Tablet(s) in a Strip,N/A
88,BILASET 20 Tablet 10's,  ₹126.00,N/A,Hetero Healthcare Limited,https://www.netmeds.com/prescriptions/bilaset-20-tablet-10s,*10 Tablet(s) in a Strip,N/A
89,BILASET M Tablet 10's,  ₹149.00,N/A,Hetero Healthcare Limited,https://www.netmeds.com/prescriptions/bilaset-m-tablet-10s,*10 Tablet(s) in a Strip,N/A
90,BILASET MANGO FLAVOUR Syrup 60ml,  ₹105.00,N/A,Hetero Healthcare Limited,https://www.netmeds.com/prescriptions/bilaset-syrup-60ml,N/A,N/A
91,BILASHINE 40mg Tablet 10's,  ₹197.00,₹ 197.00 ,Sun Pharmaceutical Industries Ltd,https://www.netmeds.com/prescriptions/bilashine-40mg-tablet-10s,*10 Tablet(s) in a Strip,N/A
92,BILASHINE Tablet 10's,  ₹139.00,Rs. 145.00,Sun Pharmaceutical Industries Ltd,https://www.netmeds.com/prescriptions/bilashine-tablet-10-s,*10 Tablet(s) in a Strip,N/A
93,BILASHINE DT Tablet 10's,  ₹72.00,N/A,Sun Pharmaceutical Industries Ltd,https://www.netmeds.com/prescriptions/bilashine-dt-tablet-10s,*10 Tablet(s) in a Strip,N/A
94,BILAST 20mg Tablet 10's,  ₹143.00,Rs. 145.00,Micro Labs Ltd,https://www.netmeds.com/prescriptions/bilast-20mg-tablet-10s,*10 Tablet(s) in a Strip,N/A
95,BILAST 40 Tablet 10's,  ₹198.00,N/A,Micro Labs Ltd,https://www.netmeds.com/prescriptions/bilast-40-tablet-10s,*10 Tablet(s) in a Strip,N/A
96,BILAST Syrup 60ml,  ₹118.00,N/A,Micro Labs Ltd,https://www.netmeds.com/prescriptions/bilast-syrup-60ml,N/A,Bilastine 2.5 mg
97,BILAST M Tablet 15's,  ₹264.00,Rs. 150.00,Micro Labs Ltd,https://www.netmeds.com/prescriptions/bilast-m-tablet-15s,*15 Tablet(s) in a Strip,Bilastine 20 mg+Montelukast 10 mg
98,BILASTERO 20mg Tablet 10's,  ₹143.00,Rs. 145.00,Hetero Healthcare Limited,https://www.netmeds.com/prescriptions/bilastero-20mg-tablet-10-s,*10 Tablet(s) in a Strip,N/A
99,BILASTERO Syrup 60ml,  ₹118.00,N/A,Hetero Healthcare Limited,https://www.netmeds.com/prescriptions/bilastero-syrup-60ml,N/A,N/A
100,BILASTERO M Tablet 10's,  ₹159.00,N/A,Hetero Healthcare Limited,https://www.netmeds.com/prescriptions/bilastero-m-tablet-10s,*10 Tablet(s) in a Strip,N/A
101,BILASTIBEL 20 Tablet 10's,  ₹129.00,N/A,Bellissa Pharmaceuticals Pvt Ltd,https://www.netmeds.com/prescriptions/bilastibel-20-tablet-10s,*10 Tablet(s) in a Strip,N/A
102,BILASURE 20mg Tablet 10's,  ₹139.00,Rs. 145.00,Sun Pharmaceutical Industries Ltd,https://www.netmeds.com/prescriptions/bilasure-20mg-tablet-10-s,*10 Tablet(s) in a Strip,N/A
103,BILASURE 40 Tablet 10's,  ₹197.00,₹ 197.00 ,Sun Pharmaceutical Industries Ltd,https://www.netmeds.com/prescriptions/bilasure-40-tablet-10s,*10 Tablet(s) in a Strip,N/A
104,BILASURE Oral Solution 60ml,  ₹108.00,₹ 108.00 ,Sun Pharmaceutical Industries Ltd,https://www.netmeds.com/prescriptions/bilasure-oral-solution-60ml,N/A,N/A
105,BILASURE M Tablet 10's,  ₹172.00,Rs. 150.00,Sun Pharmaceutical Industries Ltd,https://www.netmeds.com/prescriptions/bilasure-m-tablet-10s,*10 Tablet(s) in a Strip,N/A
106,BILATIS 20 Tablet 10's,  ₹114.00,Rs. 145.00,Hegde & Hegde Pharmaceutica Llp,https://www.netmeds.com/prescriptions/bilatis-20-tablet-10s,*10 Tablet(s) in a Strip,N/A
107,BILATIS M Tablet 10's,  ₹149.00,N/A,H & H Labs,https://www.netmeds.com/prescriptions/bilatis-m-tablet-10s,*10 Tablet(s) in a Strip,Bilastine 20 mg+Montelukast 10 mg
108,BILAWIN M Tablet 10's,  ₹172.00,N/A,Winmark HEALTHCARE PVT LTD,https://www.netmeds.com/prescriptions/bilawin-m-tablet-10s,*10 Tablet(s) in a Strip,N/A
109,BILAXTEN 20 Tablet 20's,  ₹356.00,Rs. 145.00,Menarini India Pvt Ltd,https://www.netmeds.com/prescriptions/bilaxten-20-tablet-20s,*20 Tablet(s) in a Strip,Bilastine 20 mg
110,BILAXTEN 20 Tablet 10's,  ₹178.00,N/A,Menarini India Pvt Ltd,https://www.netmeds.com/prescriptions/bilaxten-20-tablet-10s,*10 Tablet(s) in a Strip,N/A
111,BILAZAP 20mg Tablet 10's,  ₹139.00,Rs. 145.00,Glenmark Pharmaceuticals Ltd,https://www.netmeds.com/prescriptions/bilazap-20mg-tablet-10-s,*10 Tablet(s) in a Strip,N/A
112,BILAZAP M Tablet 10's,  ₹182.00,Rs. 150.00,Glenmark Pharmaceuticals Ltd,https://www.netmeds.com/prescriptions/bilazap-m-tablet-10s,*10 Tablet(s) in a Strip,N/A
113,BILAZAP M MANGO FLAVOUR Suspension 60ml,  ₹131.00,N/A,Glenmark Pharmaceuticals Ltd,https://www.netmeds.com/prescriptions/bilazap-m-mango-flavour-suspension-60ml,N/A,N/A
114,BILAZEST 20mg Tablet 10's,  ₹179.68,Rs. 145.00,Abbott Healthcare Pvt Ltd,https://www.netmeds.com/prescriptions/bilazest-20mg-tablet-10-s,*10 Tablet(s) in a Strip,N/A
115,BILAZEST M Tablet 10's,  ₹191.18,Rs. 150.00,Abbott Healthcare Pvt Ltd,https://www.netmeds.com/prescriptions/bilazest-m-tablet-10s,*10 Tablet(s) in a Strip,N/A
116,BILAZO 40 Tablet 10's,  ₹190.00,₹ 190.00 ,Indiabulls Pharmaceuticals Ltd,https://www.netmeds.com/prescriptions/bilazo-40-tablet-10s,*10 Tablet(s) in a Strip,N/A
117,BILAZO Tablet 10's,  ₹126.50,Rs. 145.00,Indiabulls Pharmaceuticals Ltd,https://www.netmeds.com/prescriptions/bilazo-tablet-10-s,*10 Tablet(s) in a Strip,N/A
118,BILBAY 20mg Tablet 10's,  ₹125.00,N/A,Ttk Healthcare Ltd,https://www.netmeds.com/prescriptions/bilbay-20mg-tablet-10s,*10 Tablet(s) in a Strip,N/A
119,BILBAY Oral Solution 60ml,  ₹145.00,N/A,Ttk Healthcare Ltd,https://www.netmeds.com/prescriptions/bilbay-oral-solution-60ml,N/A,N/A
120,BILERT 20 Tablet 10's,  ₹119.00,N/A,Intas Pharmaceuticals Ltd,https://www.netmeds.com/prescriptions/bilert-20-tablet-10s,*10 Tablet(s) in a Strip,N/A
121,BILKRO M Tablet 10's,  ₹171.50,Rs. 150.00,Medley Pharmaceuticals Ltd,https://www.netmeds.com/prescriptions/bilkro-m-tablet-10s,*10 Tablet(s) in a Strip,N/A
122,BILKWIK M Tablet 10's,  ₹149.00,N/A,Apple Lifescience Pvt Ltd,https://www.netmeds.com/prescriptions/bilkwik-m-tablet-10s,*10 Tablet(s) in a Strip,N/A
123,BILLACARE 20 Tablet 10's,  ₹110.00,N/A,Ethicare Remedies Pvt Ltd,https://www.netmeds.com/prescriptions/billacare-20-tablet-10s,*10 Tablet(s) in a Strip,Bilastine 20 mg
124,BILLARGIC 20mg Tablet 10's,  ₹171.51,N/A,Cipla Ltd,https://www.netmeds.com/prescriptions/billargic-20mg-tablet-10-s,*10 Tablet(s) in a Strip,N/A
125,BILLARGIC Oral Solution 60ml,  ₹133.10,N/A,Cipla Ltd,https://www.netmeds.com/prescriptions/billargic-oral-solution-60ml,N/A,N/A
126,BILLARGIC M Tablet 10's,  ₹193.60,Rs. 150.00,Cipla Ltd,https://www.netmeds.com/prescriptions/billargic-m-tablet-10s,*10 Tablet(s) in a Strip,N/A
127,BILLASI Tablet 10's,  ₹120.00,N/A,Lincoln Pharmaceuticals Ltd,https://www.netmeds.com/prescriptions/billasi-tablet-10s,*10 Tablet(s) in a Strip,N/A
128,BILLASI M Tablet 10's,  ₹165.00,N/A,Lincoln Pharmaceuticals Ltd,https://www.netmeds.com/prescriptions/billasi-m-tablet-10s,*10 Tablet(s) in a Strip,N/A
129,BILMEGH M Tablet 10's,  ₹128.00,N/A,Meghmani Lifesciences Ltd,https://www.netmeds.com/prescriptions/bilmegh-m-tablet-10s,*10 Tablet(s) in a Strip,N/A
130,BILTEN Tablet 10's,  ₹115.40,Rs. 145.00,Apex Laboratories Pvt Ltd,https://www.netmeds.com/prescriptions/bilten-tablet-10s,*10 Tablet(s) in a Strip,N/A
131,BILZ MC Tablet 10's,  ₹158.00,N/A,Aurz Pharmaceutical Pvt Ltd,https://www.netmeds.com/prescriptions/bilz-mc-tablet-10s,*10 Tablet(s) in a Strip,N/A
132,BINGO M Tablet 10's,  ₹96.00,N/A,NEXTGEN HEALTH CARE,https://www.netmeds.com/prescriptions/bingo-m-tablet-10s,*10 Tablet(s) in a Strip,N/A
133,BL 24 20mg Tablet 10's,  ₹139.15,N/A,Indiabulls Pharmaceuticals Ltd,https://www.netmeds.com/prescriptions/bl-24-20mg-tablet-10s,*10 Tablet(s) in a Strip,N/A
134,BLEXTEN M Tablet 10's,  ₹165.00,Rs. 150.00,Wellok Pharma,https://www.netmeds.com/prescriptions/blexten-m-tablet-10s,*10 Tablet(s) in a Strip,Bilastine 20 mg+Montelukast 10 mg
135,BLSON 20 Tablet 10's,  ₹36.00,Rs. 145.00,Unison Pharmaceuticals Pvt Ltd,https://www.netmeds.com/prescriptions/blson-20-tablet-10s,*10 Tablet(s) in a Strip,N/A
136,BLUEMONT L Tablet 10's,  ₹75.00,N/A,Blue Biotec,https://www.netmeds.com/prescriptions/bluemont-l-tablet-10s,*10 Tablet(s) in a Strip,N/A
137,Borox M 10/5mg Tablet 10'S,  ₹85.00,N/A,Biomax Biotechnics Pvt Ltd,https://www.netmeds.com/prescriptions/borox-m-10-5mg-tablet-10-s,*10 Tablet(s) in a Strip,N/A
138,Breathezy L Tablet 10'S,  ₹91.35,N/A,Msn Laboratories Pvt Ltd,https://www.netmeds.com/prescriptions/breathezy-l-tablet-10-s,*10 Tablet(s) in a Strip,N/A
139,BREAZE FX Tablet 10's,  ₹130.80,N/A,Albert David Ltd,https://www.netmeds.com/prescriptions/breaze-fx-tablet-10s,*10 Tablet(s) in a Strip,N/A
140,Breaze L Kid Tablet 10'S,₹81.65,₹90.72,Albert David Ltd,https://www.netmeds.com/prescriptions/breaze-l-kid-tablet-10-s,*10 Tablet(s) in a Strip,N/A
